pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,,,,,26,2,106,3,775.1814611996524,,775.1641401997767,775.1814611996524,776.1867297999561,776.1867297999561,776.1867297999561,776.1867297999561,776.2091684998013,777.1894379998557,777.1894379998557,777.700819300022,z,1,0.5074094999581575,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,,,,,26,3,107,0,777.7237003999762,,777.7044128999114,777.7237003999762,778.7337845996954,778.7337845996954,778.7337845996954,778.7337845996954,778.7562593999319,779.7168287998065,779.7168287998065,780.2834973996505,x,1,0.563270399812609,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,,,,,27,0,108,2,780.3101862999611,,780.2858042996377,780.3101862999611,781.3014114000835,781.3014114000835,781.3014114000835,781.3014114000835,781.3167206998914,782.3096548998728,782.3096548998728,782.988254699856,c,1,0.6723278998397291,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,,,,,27,1,109,2,783.0098715000786,,782.9936432996765,783.0098715000786,784.0132788000628,784.0132788000628,784.0132788000628,784.0132788000628,784.0353560000658,784.9946143999696,784.9946143999696,785.4768403996713,c,1,0.4645666996948421,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,,,,,27,2,110,0,785.4985789996572,,785.4800037997775,785.4985789996572,786.4975661998615,786.4975661998615,786.4975661998615,786.4975661998615,786.5202845996246,787.4937648000196,787.4937648000196,788.1336464998312,x,1,0.6317485999315977,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,,,,,27,3,111,2,788.1565191997215,,788.1377730998211,788.1565191997215,789.1500355997123,789.1500355997123,789.1500355997123,789.1500355997123,789.1662527997978,790.1441846997477,790.1441846997477,790.6861852998845,c,1,0.5393015001900494,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,,,,,28,0,112,1,790.7071167998947,,790.6911001997069,790.7071167998947,791.7046093996614,791.7046093996614,791.7046093996614,791.7046093996614,791.7211569999345,792.6943216999061,792.6943216999061,793.2120068999939,v,1,0.5053190998733044,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,,,,,28,1,113,0,793.2344986000098,,793.2159708999097,793.2344986000098,794.224998800084,794.224998800084,794.224998800084,794.224998800084,794.2378373998217,795.2254709997214,795.2254709997214,795.8708690996282,x,1,0.6424687001854181,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,,,,,28,2,114,1,795.8920700000599,,795.8730466999114,795.8920700000599,796.8946829997003,796.8946829997003,796.8946829997003,796.8946829997003,796.9162850999273,797.8854825999588,797.8854825999588,798.5382976997644,v,1,0.6399743999354541,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,,,,,28,3,115,1,798.5579530000687,,798.5403506997973,798.5579530000687,799.5485350000672,799.5485350000672,799.5485350000672,799.5485350000672,799.5656432998367,800.5441163000651,800.5441163000651,801.0964965997264,v,1,0.5258351997472346,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,,,,,29,0,116,0,801.1209741998464,,801.1037653000094,801.1209741998464,802.126350000035,802.126350000035,802.126350000035,802.126350000035,802.1524972999468,803.1058334996924,803.1058334996924,803.9472731999122,x,1,0.830929399933666,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,,,,,29,1,117,3,803.9712061998434,,803.9493306996301,803.9712061998434,804.9738612999208,804.9738612999208,804.9738612999208,804.9738612999208,804.9957749997266,805.9545591999777,805.9545591999777,807.0853798999451,z,1,1.1092610000632703,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,,,,,29,2,118,0,807.1046217996627,,807.0891259000637,807.1046217996627,808.1078089000657,808.1078089000657,808.1078089000657,808.1078089000657,808.1279646996409,809.1071800999343,809.1071800999343,809.689755700063,x,1,0.5679985000751913,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,,,,,29,3,119,3,809.7107142996974,,809.692931199912,809.7107142996974,810.7105466998182,810.7105466998182,810.7105466998182,810.7105466998182,810.7263825996779,811.7057860000059,811.7057860000059,812.3970446996391,z,1,0.6869417997077107,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
