trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
92,0,92,0,235.91887419996783,,235.81833899999037,5,235.91887419996783,235.91887419996783,0.06489899987354875,237.2880712999031,[-0.215],[0.39875],[1],[0],[0],[1.4072720999829471],[],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
93,0,93,0,237.4178001997061,,237.30239189974964,10,237.4178001997061,237.4178001997061,0.08686320018023252,240.4527823999524,[0.14125],[-0.30875],[1],[0],[0],[3.0675409003160894],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
94,0,94,0,240.58403379982337,,240.46066359989345,10,240.58403379982337,240.58403379982337,0.08227759972214699,242.6111151999794,[0.4375],[-0.285],[1],[0],[0],[2.0675686998292804],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
95,0,95,0,242.68428859999403,,242.6340242996812,5,242.68428859999403,242.68428859999403,0.02686430001631379,245.28594079986215,[-0.29],[0.21625],[1],[0],[0],[2.625537400133908],[],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
96,0,96,0,245.36582239996642,,245.29812519997358,5,245.36582239996642,245.36582239996642,0.03948569996282458,248.10205699969083,[0.40125],[0.16875],[1],[0],[0],[2.767300999723375],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
97,0,97,0,248.21510329982266,,248.11505310004577,10,248.21510329982266,248.21510329982266,0.0725568002089858,250.00219149980694,[-0.2375],[0.30625],[1],[0],[0],[1.8172724000178277],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
98,0,98,0,250.11476959986612,,250.01785859977826,10,250.11476959986612,250.11476959986612,0.0663990001194179,251.74313140008599,[-0.4425],[0.22625],[1],[0],[0],[1.6606390001252294],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
99,0,99,0,251.88115229969844,,251.77329709986225,5,251.88115229969844,251.88115229969844,0.09628089983016253,254.21828729985282,[-0.225],[-0.40375],[1],[0],[0],[2.354472900275141],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
100,0,100,0,254.34733029967174,,254.2475243001245,10,254.34733029967174,254.34733029967174,0.08099570032209158,256.6160140000284,[0.4175],[-0.325],[1],[0],[0],[2.293771700002253],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
101,0,101,0,256.7130692997016,,256.625023199711,10,256.7130692997016,256.7130692997016,0.061525400262326,258.417438399978,[0.34125],[0.385],[1],[0],[0],[1.7316661002114415],[],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
102,0,102,0,258.5292600998655,,258.4335761000402,5,258.5292600998655,258.5292600998655,0.06531409965828061,260.43559359991923,[0.29625],[-0.46],[1],[0],[0],[1.938440500292927],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
103,0,103,0,260.529034699779,,260.4517824999057,5,260.529034699779,260.529034699779,0.0470461999066174,262.4328466998413,[-0.35],[0.26],[1],[0],[0],[1.9359788997098804],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
104,0,104,0,262.52869689976797,,262.44986000005156,5,262.52869689976797,262.52869689976797,0.04763150028884411,265.53101169969887,[0.175],[0.43],[1],[0],[0],[3.036028299946338],[],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
105,0,105,0,265.6279086000286,,265.54506549984217,5,265.6279086000286,265.6279086000286,0.05917799985036254,267.4980212999508,[-0.105],[0.195],[1],[0],[0],[1.8975193998776376],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
106,0,106,0,267.61108299996704,,267.5133464001119,5,267.61108299996704,267.61108299996704,0.06478579994291067,269.2808978999965,[-0.25875],[0.4075],[1],[0],[0],[1.7043860000558197],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
107,0,107,0,269.3947779000737,,269.29594939993694,5,269.3947779000737,269.3947779000737,0.06752049969509244,270.89675850002095,[0.045],[0.35875],[1],[0],[0],[1.5347695001401007],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
108,0,108,0,271.02650009980425,,270.9095473997295,10,271.02650009980425,271.02650009980425,0.0818032999522984,272.92823399975896,[0.4025],[-0.04625],[1],[0],[0],[1.9393617999739945],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
109,0,109,0,273.05911649996415,,272.9364799996838,10,273.05911649996415,273.05911649996415,0.08178330026566982,275.4516763999127,[0.105],[-0.3125],[1],[0],[0],[2.4332965002395213],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
110,0,110,0,275.57534939981997,,275.4797227997333,5,275.57534939981997,275.57534939981997,0.08267389982938766,277.478587300051,[0.2475],[-0.01875],[1],[0],[0],[1.9210238000378013],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
111,0,111,0,277.6415702998638,,277.49205440003425,10,277.6415702998638,277.6415702998638,0.1132748001255095,280.19285940006375,[-0.35],[0.0675],[1],[0],[0],[2.590891399886459],[],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
112,0,112,0,280.29121599998325,,280.2000889996998,10,280.29121599998325,280.29121599998325,0.06410299986600876,282.24755279999226,[0.16],[-0.16],[1],[0],[0],[1.983436799608171],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
