reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,1,5,12,5,115.69794750004075,,115.67796590016223,115.69794750004075,116.69158930005506,116.69158930005506,116.70878370013088,124.74261030019261,t,8.03699619998224,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,1,6,13,3,124.7707486001309,,124.7444462000858,124.7707486001309,125.75729330000468,125.75729330000468,125.77349950000644,130.5252442001365,t,4.7582801000680774,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,2,0,14,2,130.54949710005894,,130.52700690017082,130.54949710005894,131.54119670018554,131.54119670018554,131.5576224999968,144.28621130017564,l,12.733289499999955,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,2,1,15,1,144.30323910014704,,144.28702450008132,144.30323910014704,145.30277200019918,145.30277200019918,145.31881050020456,155.9186475002207,l,10.605229099979624,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,2,2,16,6,155.94429940008558,,155.9204867000226,155.94429940008558,156.93580860015936,156.93580860015936,156.95308760018088,160.4176301001571,t,3.4790567001327872,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,2,3,17,4,160.44172220001929,,160.41936860000715,160.44172220001929,161.43073740019463,161.43073740019463,161.44795739999972,165.3520065001212,t,3.9108406000304967,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,2,4,18,0,165.38188230013475,,165.3544983000029,165.38188230013475,166.3684077002108,166.3684077002108,166.38521440001205,169.69015480019152,l,3.3182043000124395,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,2,5,19,3,169.72367210010998,,169.69439010019414,169.72367210010998,170.70115490001626,170.70115490001626,170.74694690015167,174.74678710009903,t,4.0394290999975055,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
67,75,119,2,6,20,5,174.768681100104,,174.7484403999988,174.768681100104,175.76117920014076,175.76117920014076,175.77765950001776,178.74665960017592,t,2.9837758999783546,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
67,75,119,3,0,21,5,178.76180750015192,,178.74816250009462,178.76180750015192,179.76731510017999,179.76731510017999,179.76731510017999,183.67887870012783,t,3.9062628999818116,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
